#Top: ios   Floorplan: io_1   Part: xc7a35tfgg484-1,,,,,,,,,,,,
#Generated by: kremerme   on: Mon Mar  8 10:36:28 2021,,,,,,,,,,,,
#Build: Vivado v2020.2   by: xbuild   on: Wed Nov 18 09:12:47 MST 2020,,,,,,,,,,,,
#Package Version: FINAL 2013-11-27,,,,,,,,,,,,
#Package Pin Delay Version: VERS. 2.0 2013-11-27,,,,,down 100,,,,,,,
,,,,maybe,maybe,,,,,,,
IO Bank,LEAD,Pin Name,Pin Number,"X, pos","Y, Pos",const,"U,D,L,R",const,const,sheet?,const,type
34,X,IO_L10N_T1_34,AB5,500,-2000,100,L,50,50,7,0,I
34,X,IO_L11P_T1_SRCC_34,Y4,500,-2100,100,L,50,50,7,0,I
34,X,IO_L11N_T1_SRCC_34,AA4,500,-2200,100,L,50,50,7,0,I
34,X,IO_L12P_T1_MRCC_34,V4,500,-2300,100,L,50,50,7,0,I
34,X,IO_L12N_T1_MRCC_34,W4,500,-2400,100,L,50,50,7,0,I
34,X,IO_L13P_T2_MRCC_34,R4,500,-2500,100,L,50,50,7,0,I
34,X,IO_L13N_T2_MRCC_34,T4,500,-2600,100,L,50,50,7,0,I
34,X,IO_L14P_T2_SRCC_34,T5,500,-2700,100,L,50,50,7,0,I
34,X,IO_L14N_T2_SRCC_34,U5,500,-2800,100,L,50,50,7,0,I
34,X,IO_L15P_T2_DQS_34,W6,500,-2900,100,L,50,50,7,0,I
34,X,IO_L15N_T2_DQS_34,W5,500,-3000,100,L,50,50,7,0,I
34,X,IO_L16P_T2_34,U6,500,-3100,100,L,50,50,7,0,I
34,X,IO_L16N_T2_34,V5,500,-3200,100,L,50,50,7,0,I
34,X,IO_L17P_T2_34,R6,500,-3300,100,L,50,50,7,0,I
34,X,IO_L17N_T2_34,T6,500,-3400,100,L,50,50,7,0,I
34,X,IO_L18P_T2_34,Y6,500,-3500,100,L,50,50,7,0,I
34,X,IO_L18N_T2_34,AA6,500,-3600,100,L,50,50,7,0,I
34,X,IO_L19P_T3_34,V7,500,-3700,100,L,50,50,7,0,I
34,X,IO_L19N_T3_VREF_34,W7,500,-3800,100,L,50,50,7,0,I
34,X,IO_L20P_T3_34,AB7,500,-3900,100,L,50,50,7,0,I
34,X,IO_L20N_T3_34,AB6,500,-4000,100,L,50,50,7,0,I
34,X,IO_L21P_T3_DQS_34,V9,500,-4100,100,L,50,50,7,0,I
34,X,IO_L21N_T3_DQS_34,V8,500,-4200,100,L,50,50,7,0,I
34,X,IO_L22P_T3_34,AA8,500,-4300,100,L,50,50,7,0,I
34,X,IO_L22N_T3_34,AB8,500,-4400,100,L,50,50,7,0,I
34,X,IO_L23P_T3_34,Y8,500,-4500,100,L,50,50,7,0,I
34,X,IO_L23N_T3_34,Y7,500,-4600,100,L,50,50,7,0,I
34,X,IO_L24P_T3_34,W9,500,-4700,100,L,50,50,7,0,I
34,X,IO_L24N_T3_34,Y9,500,-4800,100,L,50,50,7,0,I
34,X,IO_25_34,U7,500,-4900,100,L,50,50,7,0,I
34,X,VCCO_34,AA7,500,-5000,100,D,50,50,7,0,W
34,X,VCCO_34,AB4,500,-5100,100,D,50,50,7,0,W
34,X,VCCO_34,R5,500,-5200,100,D,50,50,7,0,W
34,X,VCCO_34,T2,500,-5300,100,D,50,50,7,0,W
34,X,VCCO_34,V6,500,-5400,100,D,50,50,7,0,W
34,X,VCCO_34,W3,500,-5500,100,D,50,50,7,0,W
35,X,IO_0_35,F4,500,0,100,L,50,50,8,0,I
35,X,IO_L1P_T0_AD4P_35,B1,500,-100,100,L,50,50,8,0,I
35,X,IO_L1N_T0_AD4N_35,A1,500,-200,100,L,50,50,8,0,I
35,X,IO_L2P_T0_AD12P_35,C2,500,-300,100,L,50,50,8,0,I
35,X,IO_L2N_T0_AD12N_35,B2,500,-400,100,L,50,50,8,0,I
35,X,IO_L3P_T0_DQS_AD5P_35,E1,500,-500,100,L,50,50,8,0,I
35,X,IO_L3N_T0_DQS_AD5N_35,D1,500,-600,100,L,50,50,8,0,I
35,X,IO_L4P_T0_35,E2,500,-700,100,L,50,50,8,0,I
35,X,IO_L4N_T0_35,D2,500,-800,100,L,50,50,8,0,I
35,X,IO_L5P_T0_AD13P_35,G1,500,-900,100,L,50,50,8,0,I
35,X,IO_L5N_T0_AD13N_35,F1,500,-1000,100,L,50,50,8,0,I
